Bus Name,Bus Number,Route,All Stoppage,Stoppage Time,Up Time,Down Time,AlternateName,Agency Name,Bus Type,Contact Number,Alternate Number,Depot Name,Destination
FRIENDS,WBC672280,FRIENDS - B,,,,,,,Private - AC,9332456781,9332456782,Bishnupur,Kolkata (Esplaned)
JALESWAR,WB132540,JALESWAR - P,,,,,,,Private - NON AC,7047268668,,Patharpara,Chandrakona Town
JANARDAN,WB67B7424,JANARDAN - B,,,,,,,Private - NON AC,,,Bankura,Arambagh
SANCHITA,WB33B0346,SANCHITA - M,,,,,,,Private - NON AC,8637815440,9732989635,Mohanpur,Medinipur
MAA BELA,WB679783,MAA BELA - B,,,,,,,Private - NON AC,8637350345,9547927421,Boga,Bankura
RAKHAL SOKHA,WB674899,RAKHAL SOKHA - G,,,,,,,Private - NON AC,,,Guniada,Bankura
MAA DURGA,WB37A9721,MAA DURGA - D,,,,,BIBEK,,Private - NON AC,,,Durgapur (Station),Manbazar
SWEETY,WB39A8207,SWEETY - B,,,,,,,Private - NON AC,,,Bankura,Nabadwip
RAHUL,WB679527,RAHUL - B,,,,,,,Private - NON AC,,,Bandwan,Bankura
DIAMOND,WB41F6453,DIAMOND - T,,,,,,,Private - NON AC,,,Tarkeshwar,Chandrakona Road
P TRAVELS,WB29C4626,P TRAVELS - H,,,,,,,Private - NON AC,7586900642,,Haldia,Tarkeshwar
BK TRAVELS,WB315899,BK TRAVELS - C,,,,,,,Private - NON AC,,,Contai,Medinipur
MAA PARBATI,WB552093,MAA PARBATI - P,,,,,,,Private - NON AC,,,Purulia,Bankura
LAXMI JANARDAN,WB33F1493,LAXMI JANARDAN - J,,,,,DEBI KANAKDURGA,,Private - NON AC,,,Jhilimili,Medinipur
GUDDI,WB677989,GUDDI - B,,,,,,,Private - NON AC,,,Bandwan,Bankura
NILKANTHA,WB31A0273,NILKANTHA - S,,,,,,,Private - AC,8167858505,,Solpatta,Kolkata (Esplaned)
SBSTC,J,SBSTC - J,,,,,,,Government - NON AC,8777315955,7699993955,Jhargram,Durgapur (Station)
TUFAN GOLD,WB65D1907,TUFAN GOLD - H,,,,,,,Private - NON AC,9531759386,9635189909,Haludkanali,Kolkata (Esplaned)
CHARUBALA,WB67B4414,CHARUBALA - B,,,,,,,Private - NON AC,,,Bankura,Silda
DURANTA,WB33D3786,DURANTA - K,,,,,,,Private - NON AC,,,Kharagpur,Bankura
TRIBENI,WB67B7484,TRIBENI - B,,,,,,,Private - NON AC,9933666281,,Barabazar,Gopiballabpur
TRIBENI,WB39B7739,TRIBENI - M,,,,,,,Private - NON AC,7076526815,,Manbazar,Medinipur
SRT Travels,WB55B2345, - P,,,,,S.R.T.,S.R.T. TRAVELS,Private - NON AC,9635892425,7477563110,Purulia,Jhargram
AMRABATI,WB29C3330,AMRABATI - K,,,,,,,Private - NON AC,9635623321,,Kukrahati,Digha
MOUSUMI,WB67A6902,MOUSUMI - B,,,,,DISHA,DISHA TRAVELS,Private - NON AC,8116247347,8759464135,Bandwan,Durgapur (Station)
ADDYA SHAKTI,WB531693,ADDYA SHAKTI - B,,,,,,,Private - NON AC,7864035450,,Bolpur,Baharampur
MAMATAMAYEE,WB49N2136,MAMATAMAYEE - K,,,,,,,Private - NON AC,9732250235,9083093790,Khirpai,Howrah
SRI BISHNU,WB33C5130,SRI BISHNU - K,,,,,,,Private - NON AC,,,Khatra,Ghatal
CHANGDAR,WB49N1045,CHANGDAR - H,,,,,,,Private - NON AC,9635293969,,Hoomgarh,Barasat
TITHY,WB67C7337,TITHY - J,,,,,,,Private - NON AC,7478768998,,Jhargram,Bardhaman
KATTAYANI,WB29D9117,KATTAYANI - E,,,,,,,Private - NON AC,9083590857,,Egra,Karunamoyee
TITHI,WB67B8707,TITHI - B,,,,,,,Private - NON AC,8670758707,6294365157,Belpahari,Bardhaman
SRI KRISHNA,WB33C8888,SRI KRISHNA - F,,,,,,,Private - NON AC,9975030165,,Fulkusma,Howrah
MAA DURGA,WB33B5942,MAA DURGA - K,,,,,SONALI,,Private - NON AC,6296024255,,Khatra,Contai
BABA BHAIRAV,WB67A5938,BABA BHAIRAV - F,,,,,,,Private - NON AC,9832189884,,Fulkusma,Bankura
NILANJALI,WB315572,NILANJALI - E,,,,,,,Private - NON AC,,,Egra,Medinipur
DEBAYANTI,WB490806,DEBAYANTI - B,,,,,,,Private - NON AC,,,Belpahari,Contai
PATHER DABI,WB33D1170,PATHER DABI - B,,,,,,,Private - NON AC,,,Bardhaman,Kharagpur
PLATINUM,WB33D0020,PLATINUM - G,,,,,,,Private - NON AC,,,Ghatal,Medinipur
PLATINUM,WB33D0020,PLATINUM - G,,,,,,,Private - NON AC,,,Ghatal,Medinipur
SHRADHANJALI,WB33F2197,SHRADHANJALI - M,,,,,,,Private - NON AC,8918095181,9679754069,Medinipur,Khatra
SULOCHONA,WB67C1990,SULOCHONA - L,,,,,,,Private - NON AC,,,Lalpur,Durgapur (Station)
TUFAN,WB673259,TUFAN - K,,,,,,,Private - NON AC,,,Kamarpukur,Khatra
SWEETY,WB39B2435,SWEETY - D,,,,,,,Private - NON AC,,,Durgapur (Station),Jhargram
CYCLONE,WB33C8185,CYCLONE - R,,,,,,,Private - NON AC,,,Ramgarh,Contai
RAMKRISHNA,WB33B3939,RAMKRISHNA - C,,,,,,,Private - NON AC,,,Contai,Jhargram
FIROZ,WB33C0638,FIROZ - T,,,,,,,Private - NON AC,,,Trilochanpur,Medinipur
FIROZ,WB33C0638,FIROZ - T,,,,,,,Private - NON AC,,,Trilochanpur,Jhargram
SWEETY,WB41J9888,SWEETY - N,,,,,,,Private - NON AC,,,Nabadwip,Asansol
NILKANTHA,WB29A3009,NILKANTHA - C,,,,,,,Private - NON AC,9635623321,8670234284,Chaitanyapur,Digha
JAI MAA DURGA,WB55B2323,JAI MAA DURGA - B,,,,,,,Private - NON AC,7583939647,,Bandwan,Kolkata (Esplaned)
PRIYAJIT,WB15C4942,PRIYAJIT - R,,,,,,,Private - NON AC,9434414594,,Ramjibanpur,Howrah
SBSTC,B,SBSTC - B,,,,,,,Government - NON AC,,,Bardhaman,Karimpur
KRISHNACHURA,WB11C5875,KRISHNACHURA - G,,,,,,,Private - NON AC,,,Goaltore,Medinipur
KRISHNACHURA,WB11C5875,KRISHNACHURA - G,,,,,,,Private - NON AC,,,Goaltore,Medinipur
AVINANDAN,WB33A3711,AVINANDAN - L,,,,,,,Private - NON AC,8972245210,,Lalgarh,Tarkeshwar
GANGARAM,WB339069,GANGARAM - M,,,,,,,Private - NON AC,,,Medinipur,Digha
LAXMI JANARDAN,WB33E1199,LAXMI JANARDAN - T,,,,,,,Private - NON AC,9932276722,9002716157,Trilochanpur,Bandwan
MAA BARGABHIMA,WB67C1592,MAA BARGABHIMA - B,,,,,RAJA BABU,,Private - NON AC,7384378304,9434313755,Bankura,Barakar
JOY JISHU,WB51C7231,JOY JISHU - B,,,,,,Tanveer Line,Private - NON AC,9382309727,,Bardhaman,Manbazar
GOLDEN,WB33A6521,GOLDEN - P,,,,,,,Private - NON AC,,,Panskura,Tarkeshwar
PRATIKSHA,WB41G0104,PRATIKSHA - B,,,,,,,Private - NON AC,8637821982,,Bardhaman,Manbazar
SHAKAMBARI,WB29B8889,SHAKAMBARI - J,,,,,,,Private - NON AC,,,Jhargram,Haldia
LAL PARUL,WB67B9980,LAL PARUL - B,,,,,,,Private - NON AC,9775780205,,Bardhaman,Manbazar
LAL PARUL,WB67C0498,LAL PARUL - B,,,,,,,Private - NON AC,,,Bankura,Medinipur
AVINANDAN,WB33F1527,AVINANDAN - C,,,,,MAA SANAKA,,Private - NON AC,9732789517,,Chandrakona Road,Howrah
MAYER DAN,WB29B4110,MAYER DAN - K,,,,,,,Private - NON AC,,,Kantakhali,Haldia
HITLAR,WB316982,HITLAR - D,,,,,RUMPA,,Private - NON AC,9932655447,,Digha,Medinipur
SOUMEN,WB29B5781,SOUMEN - B,,,,,,,Private - NON AC,7718425521,,Baidyanathpur,Raniganj
MONIKA,WB679660,MONIKA - R,,,,,,,Private - NON AC,,,Ramharipur,Purulia
CHARUBALA,WB673151,CHARUBALA - G,,,,,,,Private - NON AC,,,Gopalpur,Bankura
CHARUBALA,WB673151,CHARUBALA - G,,,,,,,Private - NON AC,,,Gopalpur,Bankura
RAVI,WB41H5161,RAVI - K,,,,,,,Private - NON AC,,,Krishnanagar,Asansol
ISHAN,WB67C1858,ISHAN - D,,,,,,,Private - NON AC,,,Durgapur (Station),Manbazar
TAMRALIPTA EXPRESS,WB319959,TAMRALIPTA EXPRESS - B,,,,,,,Private - NON AC,8145112048,,Bishnupur,Asansol
JOY BABA KHETRAPAL,WB25C2394,JOY BABA KHETRAPAL - A,,,,,,JOY BABA KHETRAPAL TRAVELS,Private - NON AC,,,Amlasuli,Medinipur
BABUSONA,WB41G8198,BABUSONA - B,,,,,,,Private - NON AC,9434546827,9734313877,Bardhaman,Manbazar
GOPINATH,WB51B3307,GOPINATH - K,,,,,,,Private - NON AC,8001527124,,Krishnanagar,Asansol
JOY GORAM,WB55A8004,JOY GORAM - P,,,,,,RIO TRAVELS,Private - NON AC,,,Purulia,Medinipur
SHIVSHAKTI,WB31A3464,SHIVSHAKTI - M,,,,,,,Private - NON AC,7384312866,,Mirzapur,Kolkata (Esplaned)
BULU,WB33F0690,BULU - H,,,,,,,Private - NON AC,,,Haldia,Jhargram
SUPER CITIZEN,WB33C7295,SUPER CITIZEN - L,,,,,,,Private - NON AC,8972445959,9775789031,Lakshmisagar,Kolkata (Esplaned)
SHIVAM,WB41C5918,SHIVAM - K,,,,,,,Private - NON AC,,,Khatra,Arambagh
SAHANA,WB55B7229,SAHANA - S,,,,,,,Private - NON AC,,,Simlapal,Purulia
SHIVSHAKTI,WB29B2132,SHIVSHAKTI - S,,,,,,,Private - NON AC,7384312866,,Solpatta,Howrah
TARA MAA,WB33C0696,TARA MAA - B,,,,,,,Private - NON AC,6295888237,9732322657,Binpur,Arambagh
SBSTC,A,SBSTC - A,,,,,,,Government - NON AC,,,Asansol,Digha
MAA KOKONDESHWARI,WB33A9973,MAA KOKONDESHWARI - K,,,,,,,Private - NON AC,,,Kamarpukur,Durgachak
RINKU DIDI,WB55A4652,RINKU DIDI - B,,,,,,,Private - NON AC,,,Bandwan,Bankura
AZAD HIND,WB675445,AZAD HIND - D,,,,,,,Private - NON AC,9647349545,9475356049,Durgapur (Station),Kashipur
PALLY DUTH,WB41K2522,PALLY DUTH - R,,,,,,,Private - NON AC,9332688127,,Rasulpur,Karunamoyee
MAA TULSI,WB67B8988,MAA TULSI - J,,,,,,,Private - NON AC,7477899144,,Jamtoria,Tarkeshwar
JOY MAA TARA,WB41B8613,JOY MAA TARA - J,,,,,,,Private - NON AC,9679031642,,Jamtoria,Bankura
MAA VAISHNODEVI,WB37D3018,MAA VAISHNODEVI - C,,,,,,,Private - NON AC,,,Chittaranjan,Khatra
MAA KAMAKHYA,WB678911,MAA KAMAKHYA - K,,,,,,,Private - NON AC,,,Kamarpukur,Saltora
SBSTC,D,SBSTC - D,,,,,,South Bengal State Transport Corporation,Government - NON AC,7699993948,,Durgapur (City Center),Tatanagar
BADSHA,WB490036,BADSHA - J,,,,,,,Private - NON AC,7076622290,,Jhargram,Manbazar
ANINDITA,WB29A3632,ANINDITA - C,,,,,,,Private - NON AC,7001362224,,Contai,Medinipur
SUNRISE,WB67A8356,SUNRISE - B,,,,,,,Private - NON AC,,,Bankura,Medinipur
SATELLITE,WB67B1577,SATELLITE - S,,,,,,,Private - NON AC,7364969469,,Sarenga,Asansol
DURANTA EXPRESS,WB33D0149,DURANTA EXPRESS - R,,,,,,,Private - NON AC,,,Raipur,Contai
SUTRISHNA,WB33F1639,SUTRISHNA - M,,,,,,,Private - NON AC,8653780506,,Mecheda,Medinipur
JOY MAA,WB15C0610,JOY MAA - B,,,,,,,Private - NON AC,,,Bankura,Durgapur (Station)
JOY MAA,WB15C0610,JOY MAA - B,,,,,,,Private - NON AC,,,Bankura,Purulia
DISHA,WB29C4422,DISHA - H,,,,,,,Private - NON AC,,,Haldia,Medinipur
NILACHAL,WB33A6078,NILACHAL - C,,,,,,,Private - NON AC,,,Contai,Medinipur
MARICHIKA,WB33D4243,MARICHIKA - C,,,,,,,Private - NON AC,,,Contai,Raipur
SARADIA,WB29A9128,SARADIA - H,,,,,,,Private - NON AC,9932736308,,Haldia,Belpahari
MAYER ASISH,WB33E3148,MAYER ASISH - C,,,,,,RAHI TRAVELS,Private - NON AC,,,Chandrakona Road,Bandwan
LAXMI NARAYAN,WB49N1977,LAXMI NARAYAN - C,,,,,,,Private - NON AC,,,Chandrakona Town,Howrah
MAA BAGALA,WB33A5329,MAA BAGALA - C,,,,,,,Private - NON AC,,,Contai,Fulkusma
TARAKNATH,WB15D7062,TARAKNATH - T,,,,,,MANOKA TRAVELS,Private - NON AC,7602907627,,Tarkeshwar,Mecheda
DURANTA EXPRESS,WB33D3716,DURANTA EXPRESS - A,,,,,,,Private - NON AC,,,Amlasuli,Contai
KRISHNA GOPAL,WB,KRISHNA GOPAL - S,,,,,,,Private - NON AC,,,Silda,Tarkeshwar
S.S. TRAVELS,WB33E4717,TRAVELS - M,,,,,,,Private - NON AC,,,Medinipur,Ghatal
S.S. TRAVELS,WB33E4717,TRAVELS - M,,,,,,,Private - NON AC,,,Medinipur,Ghatal
PARAMITA,WB11B6660,PARAMITA - M,,,,,,,Private - NON AC,,,Medinipur,Haldia
AVISHEK,WB37D1825,AVISHEK - B,,,,,,,Private - NON AC,,,Benachity,Krishnanagar
SUPRIYA,WB29B9835,SUPRIYA - H,,,,,,,Private - NON AC,8535876465,7407979846,Haldia,Durgapur (City Center)
BABA LOKENATH,WB674422,BABA LOKENATH - D,,,,,,,Private - NON AC,,,Durgapur (Station),Lalgarh
ANINDITA,WB29B2249,ANINDITA - C,,,,,,,Private - NON AC,,,Contai,Medinipur
BABA LOKENATH,WB29B0646,BABA LOKENATH - B,,,,,,,Private - NON AC,,,Binpur,Medinipur
BABA LOKENATH,WB29B0646,BABA LOKENATH - B,,,,,,,Private - NON AC,,,Binpur,Medinipur
SANGHAMITRA,WB29B7899,SANGHAMITRA - H,,,,,,,Private - NON AC,,,Haldia,Hoomgarh
MAA SHARADA,WB41H3747,MAA SHARADA - B,,,,,,,Private - NON AC,9123336041,,Bardhaman,Hoomgarh
NILACHAL,WB29C3350,NILACHAL - H,,,,,,,Private - NON AC,7557816283,9614487821,Haldia,Lalgarh
DAS TRAVELS,WB33C1175,DAS TRAVELS - D,,,,,,,Private - NON AC,9734386062,,Deulihat,Medinipur
NILKANTHA,WB33C6656,NILKANTHA - T,,,,,,,Private - NON AC,9933985535,9932485338,Tarkeshwar,Kharagpur
DURANTO,WB51C6819,DURANTO - K,,,,,,,Private - NON AC,,,Krishnanagar,Karimpur
KRISHNA SUDAMA,WB33A5221,KRISHNA SUDAMA - G,,,,,,,Private - NON AC,,,Garhbeta,Ghatal
KRISHNA SUDAMA,WB33A5221,KRISHNA SUDAMA - G,,,,,,,Private - NON AC,,,Garhbeta,Ghatal
PARTHA SARATHI,WB33E4696,PARTHA SARATHI - F,,,,,,,Private - NON AC,9733594174,8637042580,Fulkusma,Tarkeshwar
MDG,WB17N4117,MDG - B,,,,,,,Private - NON AC,7679883718,9093202629,Bishnupur,Kolkata (Esplaned)
JOY GURU,WB33A3838,JOY GURU - C,,,,,,,Private - NON AC,,,Chandrakona Town,Panskura
JOY GURU,WB33A3838,JOY GURU - C,,,,,,,Private - NON AC,,,Chandrakona Town,Panskura
PURUSHOTTAM,WB33F2139,PURUSHOTTAM - P,,,,,VANDE PURUSHOTTAM,,Private - NON AC,8293917337,,Panskura,Bankura
BLACK PANTHER,WB33B8343,BLACK PANTHER - C,,,,,,,Private - NON AC,,,Chandrakona Road,Jhargram
ANNAPURNA,WB55A2658,ANNAPURNA - P,,,,,,,Private - NON AC,,,Purulia,Medinipur
GRAM BANGLA,WB49N0837,GRAM BANGLA - S,,,,,,,Private - NON AC,8250063871,8076594724,Santasram,Benachity
DAKSHAYANI,WB33F2768,DAKSHAYANI - M,,,,,,,Private - AC,8653036165,7699441573,Medinipur,Digha
SRIJITA,WB535712,SRIJITA - S,,,,,DADA BHAI,DADA BHAI TRAVELS,Private - NON AC,9015787124,,Suri,Bardhaman
MAYABATI,WB17N3896,MAYABATI - B,,,,,,,Private - NON AC,9933629912,9732014708,Badanganj,Kolkata (Esplaned)
CHARUBALA,WB67A6652,CHARUBALA - B,,,,,,,Private - NON AC,,,Belut,Silda
DURGA,WB17N2838,DURGA - B,,,,,,,Private - NON AC,8436340440,9933197859,Badanganj,Kolkata
NOOR TRAVELS,WB15D5736,NOOR TRAVELS - K,,,,,,,Private - NON AC,,,Kolkata,Bishnupur
ANINDYA BRISTI,WB23D0661,ANINDYA BRISTI - B,,,,,,,Private - NON AC,8372010518,,Bishnupur,Kolkata
AKASH BRISTI,WB15A8046,AKASH BRISTI - T,,,,,,,Private - NON AC,,,Tarkeshwar,Tamluk
DEBRAJ,WB67C1759,DEBRAJ - A,,,,,,,Private - NON AC,7679678565,,Amlasuli,Bankura
DEBRAJ,WB67C1759,DEBRAJ - A,,,,,,,Private - NON AC,7679678565,,Amlasuli,Bankura
KALPANA,WB33C8103,KALPANA - J,,,,,,KALPANA TRAVELS,Private - NON AC,,,Jayrambati,Bankura
PROMILA,WB53C1375,PROMILA - B,,,,,,,Private - NON AC,,,Bolpur,Bankura
BED MATA,WB33C3399,BED MATA - B,,,,,,,Private - NON AC,7586965635,,Bajkul,Medinipur
MASTI,WB41H8966,MASTI - B,,,,,,,Private - NON AC,8436277016,,Benachity,Kotulpur
SWEETY,WB37E4545,SWEETY - N,,,,,,,Private - NON AC,,,Nabadwip,Bankura
PUTUL,WB67B4993,PUTUL - J,,,,,,,Private - NON AC,7501519566,8101433179,Jamtoria,Kolkata (Esplaned)
MAA MANASA DEBI,WB55B7174,MAA MANASA DEBI - B,,,,,,,Private - NON AC,,,Balarampur,Bankura
PRIYANKA,WB17N4048,PRIYANKA - C,,,,,BHABA GOBINDA,,Private - NON AC,9733557652,,Chuchura,Bankura
BANDANA,WB17N2884,BANDANA - B,,,,,,,Private - NON AC,6290894136,9525128895,Bankura,Chuchura
ARMAN,WB33D4137,ARMAN - P,,,,,,,Private - NON AC,9733647390,9647043891,Purulia,Digha
MAA TARA,WB33F2745,MAA TARA - M,,,,,,MAA TARA TRAVELS,Private - NON AC,8250206920,9434146010,Medinipur,Kalyani
TITHY,WB67A7337,TITHY - P,,,,,,,Private - NON AC,,,Patrasayer,Khatra
KRISHNA GOPAL,WB496696,KRISHNA GOPAL - F,,,,,,,Private - NON AC,9733594174,8637042580,Fulkusma,Tarkeshwar
PRIYANKA,WB15C1722,PRIYANKA - T,,,,,,,Private - NON AC,,,Tarkeshwar,Bankura
DULHAN,WB41K1492,DULHAN - B,,,,,,,Private - NON AC,9635581591,,Bankura,Nabadwip
RADHARANI,WB33A8173,RADHARANI - G,,,,,,,Private - NON AC,,,Ghatal,Medinipur
RADHARANI,WB33A8173,RADHARANI - G,,,,,,,Private - NON AC,,,Ghatal,Medinipur
PUTUL,WB67B1995,PUTUL - R,,,,,,,Private - NON AC,,,Rudra,Chittaranjan
JINIA,WB39C2536,JINIA - D,,,,,,,Private - NON AC,9474881832,,Durgapur (City Center),Digha
SANGEETA,WB67C1590,SANGEETA - B,,,,,,,Private - NON AC,7001807715,,Barabazar,Durgapur (Station)
TAMRALIPTA EXPRESS,WB31A7576,TAMRALIPTA EXPRESS - B,,,,,,,Private - NON AC,8371997023,,Bishnupur,Contai
SAMRAT,WB41E1212,SAMRAT - B,,,,,,,Private - NON AC,,,Benachity,Tarkeshwar
MARUTI,WB55B7116,MARUTI - B,,,,,,,Private - NON AC,,,Bishnupur,Purulia
ARANYAK,WB494375,ARANYAK - R,,,,,RINA,RINA TRAVELS,Private - AC,8972534495,9800042956,Raipur,Kolkata (Esplaned)
PAMELA,WB37D1358,PAMELA - C,,,,,,,Private - NON AC,,,Chittaranjan,Bankura
BANGA BHUMI,WB29C3063,BANGA BHUMI - J,,,,,JAI JAGANNATH,,Private - NON AC,7001390087,9777658922,Jaleswar,Medinipur
ANIKET,WB41G0280,ANIKET - B,,,,,,,Private - NON AC,,,Barakar,Arambagh
SARBOJOYA,WB67B1067,SARBOJOYA - D,,,,,,,Private - NON AC,,,Durgapur (Station),Sarenga
ANIKET,WB41H1000,ANIKET - K,,,,,,DEBIBALA TRAVELS,Private - NON AC,7718507373,,Kalna,Asansol
TRIBENI,WB33D3770,TRIBENI - M,,,,,,,Private - NON AC,,,Manbazar,Kharagpur
ATITHI,WB67C1767,ATITHI - K,,,,,DEVI DURGA,,Private - NON AC,7319522768,9932044263,Kharagpur,Manbazar
MITRA,WB31A7496,MITRA - C,,,,,,,Private - NON AC,8207284576,,Contai,Raipur
JOY BABA KHETRAPAL,WB33B0191,JOY BABA KHETRAPAL - P,,,,,MAA CHAITASINI,JOY BABA KHETRAPAL TRAVELS,Private - NON AC,9735238483,,Patharpara,Medinipur
JOY BABA KHETRAPAL,WB33A8549,JOY BABA KHETRAPAL - K,,,,,,JOY BABA KHETRAPAL TRAVELS,Private - NON AC,,,Kharkushma,Sarenga
JOY BABA KHETRAPAL,WB33A8549,JOY BABA KHETRAPAL - K,,,,,,JOY BABA KHETRAPAL TRAVELS,Private - NON AC,,,Kharkushma,Sarenga
SBSTC,B,SBSTC - B,,,,,,,Government - NON AC,7699993928,7699993948,Bankura,Chittaranjan
SANY,WB29B9748,SANY - E,,,,,,,Private - NON AC,7479149292,9593221228,Egra,Karunamoyee
MITRA,WB314783,MITRA - A,,,,,,,Private - NON AC,7501638934,9732008069,Asansol,Digha
JOY BABA KHETRAPAL,WB33D3996,JOY BABA KHETRAPAL - A,,,,,,JOY BABA KHETRAPAL TRAVELS,Private - NON AC,7319063236,9641529438,Amlasuli,Bankura
JOY BABA KHETRAPAL,WB33D3996,JOY BABA KHETRAPAL - A,,,,,,JOY BABA KHETRAPAL TRAVELS,Private - NON AC,7319063236,9641529438,Amlasuli,Bankura
RAIDUL,WB33F2282,RAIDUL - M,,,,,,,Private - NON AC,9609484066,,Moyna,Bishnupur
NEWTON,WB33A4292,NEWTON - G,,,,,,,Private - NON AC,,,Ghatal,Jhargram
SUBHADEEP,WB679788,SUBHADEEP - M,,,,,RADHA DAMODAR,,Private - NON AC,9932478359,9933556371,Manbazar,Bankura
MADHURI,WB67A5967,MADHURI - K,,,,,,,Private - NON AC,,,Kharagpur,Manbazar
RAJPATH,WB67B8736,RAJPATH - K,,,,,,,Private - NON AC,9732349476,,Khatra,Tarkeshwar
AVINANDAN,WB33D3494,AVINANDAN - C,,,,,MAA SANAKA,AVINANDAN TRAVELS,Private - NON AC,9547150512,,Chandrakona Road,Howrah
PUTUL,WB67C1646,PUTUL - S,,,,,,,Private - NON AC,8250556625,,Sindurpeti,Asansol
MAA ANANDAMOYEE,WB33D9706,MAA ANANDAMOYEE - K,,,,,,,Private - NON AC,,,Kantakhali,Amlasuli
RAHUL,WB870426,RAHUL - B,,,,,,,Private - NON AC,8167633099,,Bishnupur,Kolkata
APARAJITA,WB29B6266,APARAJITA - B,,,,,,,Private - NON AC,,,Baharagora,Haldia
MAA DURGA,WB673278,MAA DURGA - B,,,,,,,Private - NON AC,,,Bankura,Manbazar
LAL PARUL,WB67B1994,LAL PARUL - B,,,,,,,Private - NON AC,,,Bankura,Barabazar
BIBEK,WB67B1534,BIBEK - R,,,,,,,Private - NON AC,9932137651,,Ranibandh,Asansol
NATIONAL,WB37D3223,NATIONAL - B,,,,,,,Private - NON AC,,,Barakar,Magra
MANUMUN,WB33A9672,MANUMUN - B,,,,,,,Private - NON AC,,,Bishnupur,Arambagh
DARSHAN,WB676226,DARSHAN - H,,,,,,,Private - NON AC,7501657372,,Haldia,Bankura
MAA BAGALA,WB33D5786,MAA BAGALA - R,,,,,,,Private - NON AC,7047784577,8001117969,Raipur,Howrah
MAA VAISHNODEVI,WB29A0933,MAA VAISHNODEVI - B,,,,,,,Private - NON AC,,,Banspahari,Medinipur
MADANMOHAN,WB67B4671,MADANMOHAN - D,,,,,,,Private - NON AC,,,Durgapur (Station),Bandwan
AISHINI,WB55B6699,AISHINI - B,,,,,,,Private - NON AC,9564328997,7044327673,Bandwan,Tarkeshwar
BHAGYALAXMI,WB55B7227,BHAGYALAXMI - B,,,,,,,Private - NON AC,,,Barabazar,Bankura
MUNNA COACH,WB554835,MUNNA COACH - B,,,,,DEBI KAMAKHYA,,Private - NON AC,,,Bandwan,Bankura
CITY LINK,WB29A2716,CITY LINK - R,,,,,MAA KIRANBALA,,Private - NON AC,7584941717,9775462029,Raipur,Digha
NATIONAL,WB556188,NATIONAL - P,,,,,KGN,,Private - NON AC,,,Purulia,Simlapal
SOURIK,WB33F2550,SOURIK - N,,,,,,,Private - NON AC,8145005042,7904154407,Nandakumar,Medinipur
MAFUZAR,WB37D6341,MAFUZAR - M,,,,,,ISRAIL TRAVELS,Private - NON AC,8944837277,,Mougram,Asansol
NIGAMDUT,WB33F2449,NIGAMDUT - B,,,,,SUDHAMOYEE,,Private - NON AC,9932820860,9932766287,Belpahari,Tarkeshwar
PEKHAM,WB33B9857,PEKHAM - K,,,,,ALPANA,,Private - NON AC,9064483384,8116963788,Khatra,Contai
JINIA,WB39D0748,JINIA - A,,,,,,,Private - NON AC,9474881832,8637850254,Asansol,Digha
ANINDITA,WB318580,ANINDITA - C,,,,,PATHAN,,Private - NON AC,,,Contai,Medinipur
RAJMAHAL,WB55B6574,RAJMAHAL - D,,,,,,,Private - NON AC,6295887211,9563928724,Durgapur (City Center),Jhargram
SHIV SHAKTI,WB67B9011,SHIV SHAKTI - B,,,,,,,Private - NON AC,9932905653,9475272098,Bishnupur,Tatanagar
BENGAL TIGER,WB67C1133,BENGAL TIGER - B,,,,,,,Private - NON AC,8371899912,9434184415,Bishnupur,Asansol
TAMRALIPTA EXPRESS,WB29B9829,TAMRALIPTA EXPRESS - B,,,,,,,Private - NON AC,7362995756,8370913197,Bishnupur,Contai
RADHA GOBINDA,WB67A4996,RADHA GOBINDA - B,,,,,,,Private - NON AC,,,Bankura,Tarkeshwar
KRISHNA GOPAL,WB41D8684,KRISHNA GOPAL - B,,,,,,,Private - NON AC,,,Bardhaman,Bankura
MAHAMAYA,WB55A6177,MAHAMAYA - J,,,,,,,Private - NON AC,,,Jorda,Purulia
MAHAMAYA,WB55A6177,MAHAMAYA - J,,,,,,,Private - NON AC,,,Jorda,Purulia
WASIF,WB39B0782,WASIF - D,,,,,,,Private - NON AC,,,Durgapur (Station),Purulia
JOY BABA SANNYASI,WB676140,JOY BABA SANNYASI - B,,,,,,,Private - NON AC,,,Bankura,Jhargram
DEBI LAXMI,WB41J5178,DEBI LAXMI - B,,,,,,,Private - NON AC,,,Bandwan,Bardhaman
ANKUSH,WB49N2212,ANKUSH - A,,,,,MAA BANKABURI,CHANGDAR TRAVELS,Private - NON AC,8768368295,8906314872,Amlasuli,Howrah
SHIV DURGA,WB37E5686,SHIV DURGA - D,,,,,,,Private - NON AC,7001861471,,Dumka,Asansol
ASHA,WB41K3294,ASHA - B,,,,,,,Private - NON AC,7029262612,,Barakar,Krishnanagar
LAL KAMAL,WB29C1146,LAL KAMAL - H,,,,,RUDRAKSHA,,Private - NON AC,8116394843,9832232408,Hura,Kharagpur
SHIBANI INTERNATIONAL,WB29B7413,SHIBANI INTERNATIONAL - H,,,,,,,Private - NON AC,7585834189,,Howrah,Chandrakona Road
KUHELIKA,WB41G5115,KUHELIKA - B,,,,,,KUHELIKA PARIBAHAN,Private - NON AC,,,Birhata,Kharagpur
