Bus Name,Bus Number,Route,All Stoppage,Stoppage Time,Up Time,Down Time,AlternateName,Agency Name,Bus Type,Contact Number,Alternate Number,Depot Name,Destination
SOUMEN,WB674219,SOUMEN - B,,,,,ISHA,ISHA TRAVELS,Private - NON AC,,,Bankura,Ambika Nagar
SOUMEN,WB674219,SOUMEN - B,,,,,ISHA,ISHA TRAVELS,Private - NON AC,,,Bankura,Ambika Nagar
MAA JAHURA,WB57A6591,MAA JAHURA - B,,,,,,,Private - NON AC,,,Baharampur,Bardhaman
DURANTA GATI,WB472446,DURANTA GATI - B,,,,,,RANI TRAVELS,Private - NON AC,,,Baharampur,Asansol
UTSAV,WB55B7186,UTSAV - D,,,,,,,Private - NON AC,,,Dhadka,Purulia
JOY BABA TARAKNATH,WB33F1345,JOY BABA TARAKNATH - R,,,,,TARAKNATH,JOY BABA TARAKNATH TRAVELS,Private - NON AC,,,Rohini,Howrah
PUTUL,WB67A7151,PUTUL - P,,,,,,,Private - NON AC,,,Parasidanga,Asansol
BANERJEE,WB41J6203,BANERJEE - K,,,,,,,Private - NON AC,,,Kolkata (Esplaned),Purulia
JOY MAA TARA,WB67C1196,JOY MAA TARA - J,,,,,JOY RAMKRISHNA,,Private - NON AC,,,Jorda,Bankura
MAA SANDHYA,WB41J4016,MAA SANDHYA - T,,,,,,,Private - NON AC,,,Tatarpur,Bardhaman
YAMAN,WB33H5378,YAMAN - C,,,,,,,Private - NON AC,9635857564,,Chandrakona Road,Haldia
MARUTI,WB55A9819,MARUTI - B,,,,,,,Private - NON AC,,,Bishnupur,Purulia
MAA RAKSHAKALI,WB33C4915,MAA RAKSHAKALI - J,,,,,,,Private - NON AC,7872732455,9735313027,Jhargram,Bankura
LALKAMAL,WB319067,LALKAMAL - H,,,,,SUBHA,,Private - NON AC,,,Harinarayanpur,Medinipur
AYUSHI,WB67B1254,AYUSHI - S,,,,,,,Private - NON AC,8345903652,9564137134,Santasram,Kolkata (Esplaned)
SUBARNA,WB091802,SUBARNA - B,,,,,,,Private - NON AC,7001707311,7001399248,Bishnupur,Kolkata (Esplaned)
RAMNIDHI,WB29B9949,RAMNIDHI - N,,,,,,,Private - NON AC,7799340940,,Nandigram,Karunamoyee
PADMA,WB67D2282,PADMA - B,,,,,AYANSH,PADMA TRAVELS,Private - NON AC,,,Bishnupur,Bankura
PADMA,WB67D2282,PADMA - B,,,,,AYANSH,PADMA TRAVELS,Private - NON AC,,,Bishnupur,Bankura
SUMAIYA,WB50AA2540,SUMAIYA - B,,,,,,SUMAIYA TRAVELS,Private - NON AC,7477301930,8158877878,Brahmandiha,Kukrahati
MAA PARBATI,WB55A4939,MAA PARBATI - K,,,,,CHUMKI,,Private - NON AC,,,Kashipur,Bankura
ADR GOLD,WB41G0408,ADR GOLD - B,,,,,,,Private - NON AC,9641740130,8927631462,Bandwan,Kolkata (Esplaned)
SRABANI,WB05A4253,SRABANI - A,,,,,ABIR,ABIR TRAVELS,Private - AC,9831764778,9831764779,Anandapur,Bishnupur
CHIRANJIT,WB41G8115,CHIRANJIT - A,,,,,,,Private - NON AC,,,Asansol,Nabadwip
DEBLINA,WB33C3916,DEBLINA - R,,,,,MAA RAJESWARI,,Private - NON AC,9679784261,9342117411,Ramjibanpur,Medinipur
DEBLINA,WB33C3916,DEBLINA - R,,,,,MAA RAJESWARI,,Private - NON AC,9679784261,9342117411,Ramjibanpur,Medinipur
TIRUPATI,WB673765,TIRUPATI - B,,,,,BALAJI,,Private - NON AC,,,Bankura,Barakar
DADA BHAI,WB29B7439,DADA BHAI - H,,,,,JOY BABA LOKENATH,,Private - NON AC,7586923774,,Haldia,Chandrakona Road
MAA BELYAMONI,WB31A7714,MAA BELYAMONI - J,,,,,,,Private - NON AC,8670538740,,Jaleswar,Kukrahati
RAJNANDINI,WB492282,RAJNANDINI - F,,,,,,,Private - NON AC,8391911938,9647156704,Fulkusma,Kolkata (Esplaned)
